movieRank,movieName,moviePic,starNum,quoteNum,movieDes
43,闻香识女人,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p925123037.jpg,8.9,341425人评价,史上最美的探戈。
44,海豚湾,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455222172.jpg,9.3,189754人评价,海豚的微笑，是世界上最高明的伪装。
45,哈尔的移动城堡,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg,8.9,373166人评价,带着心爱的人在天空飞翔。
46,V字仇杀队,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg,8.8,442321人评价,一张面具背后的理想与革命。
47,教父2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,9.1,198179人评价,优雅的孤独。
48,死亡诗社,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824340.jpg,8.9,294750人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
49,美丽心灵,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,8.9,320271人评价,爱是一切逻辑和原由。
50,辩护人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,9.1,221007人评价,电影的现实意义大过电影本身。
51,指环王2：双塔奇兵,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg,9.0,284634人评价,承前启后的史诗篇章。
52,指环王1：魔戒再现,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg,8.9,318152人评价,传说的开始。
53,情书,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg,8.8,394390人评价,暗恋的极致。
54,饮食男女,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,9.1,211065人评价,人生不能像做菜，把所有的料都准备好了才下锅。
55,美国往事,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,9.1,183647人评价,往事如烟，无处祭奠。
56,天使爱美丽,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p803896904.jpg,8.7,502616人评价,法式小清新。 
57,狮子王,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg,8.9,296403人评价,动物版《哈姆雷特》。
58,钢琴家,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792484461.jpg,9.0,212031人评价,音乐能化解仇恨。
59,七宗罪,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457631605.jpg,8.7,453409人评价,警察抓小偷，老鼠玩死猫。
60,被嫌弃的松子的一生,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453723669.jpg,8.9,303248人评价,以戏谑来戏谑戏谑。
61,致命魔术,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,8.8,360181人评价,孪生蝙蝠侠大战克隆金刚狼。
62,小鞋子,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173580603.jpg,9.2,145732人评价,奔跑的孩子是天使。
63,素媛,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,9.1,192420人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
64,勇敢的心,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg,8.8,305849人评价,史诗大片的典范。
65,音乐之声,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,8.9,241962人评价,用音乐化解仇恨，让歌声串起美好。
66,剪刀手爱德华,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,8.7,504637人评价,浪漫忧郁的成人童话。
67,低俗小说,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,8.8,349762人评价,故事的高级讲法。
68,本杰明·巴顿奇事,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,8.7,410268人评价,在时间之河里感受溺水之苦。
69,黑客帝国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910908765.jpg,8.8,293982人评价,视觉革命。
70,西西里的美丽传说,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792400696.jpg,8.7,366691人评价,美丽无罪。
71,沉默的羔羊,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,8.7,368464人评价,安东尼·霍普金斯的顶级表演。
72,拯救大兵瑞恩,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,8.9,249572人评价,美利坚精神输出大片No1.
73,入殓师,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p594972928.jpg,8.8,328591人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
74,蝴蝶效应,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,8.7,397113人评价,人的命运被自己瞬间的抉择改变。
75,玛丽和马克思,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1820615077.jpg,8.9,238561人评价,你是我最好的朋友，你是我唯一的朋友 。
76,让子弹飞,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,8.7,647870人评价,你给我翻译翻译，神马叫做TMD的惊喜。
77,春光乍泄,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,8.8,257540人评价,爱情纠缠，男女一致。
78,大闹天宫,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,9.2,104943人评价,经典之作，历久弥新。
79,心灵捕手,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,8.8,282537人评价,人生中应该拥有这样的一段豁然开朗。
80,幽灵公主,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg,8.8,244507人评价,人与自然的战争史诗。
81,阳光灿烂的日子,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p967457079.jpg,8.7,280891人评价,一场华丽的意淫。
82,第六感,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg,8.8,243092人评价,深入内心的恐怖，出人意料的结局。
83,看不见的客人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,8.7,317802人评价,你以为你以为的就是你以为的。
84,重庆森林,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg,8.7,343057人评价,寂寞没有期限。
85,大鱼,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg,8.7,261327人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
86,末代皇帝,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452088641.jpg,8.9,175916人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
87,禁闭岛,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg,8.6,373153人评价,昔日翩翩少年，今日大腹便便。
88,射雕英雄传之东成西就,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1993903133.jpg,8.7,285146人评价,百看不厌。 
89,狩猎,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg,9.0,134261人评价,人言可畏。
90,甜蜜蜜,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg,8.8,239731人评价,相逢只要一瞬间，等待却像是一辈子。
91,一一,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2119675128.jpg,8.9,161482人评价,我们都曾经是一一。
92,致命ID,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453720880.jpg,8.6,329924人评价,最不可能的那个人永远是最可能的。
93,布达佩斯大饭店,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg,8.7,323496人评价,小清新的故事里注入了大历史的情怀。
